SN,Depth,Lat,Long,pH,Sand,Silt,Clay,Ca,Mg,Na,potassium_extractable,Al+H,ECEC,nitrogen_total,carbon_organic,phosphorous_extractable
1,Top,7.66745,3.62597,5.94,89.2,5.4,5.4,2.79,1.08,0.15,0.10,0.10,4.22,0.108,0.87,9.61
2,Top,7.66955,3.62585,8.88,81.2,11.4,7.4,6.05,1.40,0.21,0.19,0.03,7.88,0.071,0.41,6.96
3,Top,7.66784,3.6281,6.60,83.2,7.4,9.4,5.18,1.28,0.26,0.18,0.07,6.97,0.038,0.54,8.01
4,Top,7.66982,3.62723,6.83,81.2,9.4,9.4,5.24,1.38,0.33,0.46,0.07,7.48,0.042,0.63,12.16
5,Top,7.671,3.62758,7.08,85.2,9.4,5.4,4.47,1.15,0.27,0.13,0.06,6.08,0.063,0.85,22.76
6,Top,7.67286,3.62783,6.55,87.2,7.4,5.4,3.49,1.44,0.36,0.14,0.08,5.51,0.072,1.02,5.86
7,Top,7.67197,3.62892,6.59,87.2,7.4,5.4,4.16,1.47,0.25,0.09,0.11,6.08,0.054,0.80,8.90
8,Top,7.67269,3.6252,6.42,87.2,7.4,5.4,3.47,1.07,0.26,0.14,0.09,5.03,0.067,0.82,6.19
9,Top,7.67645,3.62509,6.65,85.2,9.4,5.4,4.61,1.41,0.16,0.14,0.07,6.39,0.054,0.84,14.97
10,Top,7.68107,3.63124,6.71,89.2,5.4,5.4,3.18,0.98,0.19,0.10,0.06,4.51,0.112,1.35,15.25
11,Top,7.67876,3.63225,5.63,86.6,7.4,6,2.53,0.78,0.16,0.07,0.11,3.65,0.022,0.43,10.99
12,Top,7.669,3.62135,6.61,90.6,3.4,6,2.68,1.05,0.11,0.08,0.09,4.01,0.092,0.78,4.97
13,Top,7.66564,3.62803,6.00,87.2,7.4,5.4,3.41,0.76,0.14,0.23,0.08,4.62,0.078,0.89,16.80
14,Top,7.68332,3.63259,5.96,93.2,1.4,5.4,2.22,0.53,0.16,0.04,0.12,3.07,0.051,0.34,1.88
15,Top,7.65754,3.62195,6.04,87.2,7.4,5.4,2.42,0.91,0.21,0.05,0.09,3.68,0.028,0.45,1.77
16,Top,7.65754,3.62467,5.53,89.2,5.4,5.4,2.30,0.95,0.15,0.04,0.11,3.55,0.047,0.39,6.41
17,Top,7.65844,3.62377,4.55,91.2,3.4,5.4,2.10,0.82,0.24,0.08,0.14,3.38,0.056,0.71,3.87
18,Top,7.65935,3.62286,5.96,87.2,7.4,5.4,1.38,0.51,0.16,0.02,0.11,2.18,0.060,0.34,8.01
19,Top,7.65934,3.62558,5.86,89.2,5.4,5.4,1.92,1.01,0.14,0.05,0.10,3.22,0.040,0.45,6.35
20,Top,7.66026,3.61924,6.68,89.2,5.4,5.4,3.94,1.53,0.16,0.08,0.07,5.78,0.070,0.88,11.11
21,Top,7.66025,3.62196,5.72,89.2,5.4,5.4,3.01,0.69,0.24,0.04,0.12,4.10,0.050,0.47,7.57
22,Top,7.66115,3.62649,6.42,90.2,6.4,3.4,2.45,0.49,0.15,0.04,0.08,3.21,0.030,0.51,6.46
23,Top,7.66206,3.62196,6.64,93.2,1.4,5.4,2.68,0.69,0.25,0.05,0.06,3.73,0.030,0.13,5.97
24,Top,7.66206,3.62377,7.05,84.2,9.4,6.4,1.39,0.29,0.20,0.05,0.04,1.97,0.010,0.28,5.91
25,Top,7.66296,3.62468,6.56,89.2,5.4,5.4,1.7,0.63,0.15,0.04,0.06,2.58,0.050,0.31,3.32
26,Top,7.66387,3.62559,6.00,93.2,1.4,5.4,2.46,0.73,0.17,0.06,0.10,3.52,0.010,0.31,2.75
27,Top,7.66386,3.6274,5.65,91.2,3.4,5.4,1.56,0.59,0.12,0.06,0.09,2.42,0.060,0.31,0.98
28,Top,7.66478,3.62015,6.58,93.2,1.4,5.4,2.42,0.8,0.13,0.11,0.07,3.53,0.040,0.63,2.18
29,Top,7.66477,3.62287,7.07,93.2,1.4,5.4,1.7,0.76,0.12,0.07,0.05,2.70,0.010,0.29,3.32
30,Top,7.66477,3.62468,5.59,93.2,1.4,5.4,1.4,0.64,0.09,0.04,0.12,2.29,0.032,0.22,0.57
31,Top,7.66477,3.6265,5.94,89.2,5.4,5.4,1.03,0.56,0.09,0.08,0.10,1.86,0.021,0.12,3.99
