sN,State,Lat,Long,Depth,sand_content,silt_content,clay_content,pH,carbon_organic,nitrogen_total,phosphorous_extractable,calcium_extractable,potassium_extractable
EK01,Ekiti,7.33318,5.48363,1,65.288,17.12,17.592,6.98,1.995,0.165,19.4,7.1094144,0.0087638
EK02,Ekiti,7.35379,5.41467,1,58.216,16.768,25.016,7.18,0.199,0.121,26.49,13.4781664,0.5927718
EK03,Ekiti,7.35379,5.41747,1,79.504,7.48,13.016,7.26,1.635,0.158,22.67,7.8698624,0.8809194
EK04,Ekiti,7.42095,5.4786,1,69.144,13.984,16.872,7.36,1.755,0.102,15.53,10.7975872,0.0159578
EK05,Ekiti,7.42275,5.55407,1,77.432,7.624,14.944,7.69,0.119,0.069,19.65,8.7538832,0.017675
EK06,Ekiti,7.5674,5.2468,1,61.288,17.768,20.944,7.58,0.798,0.034,17.77,8.7158608,0.0159724
EK07,Ekiti,7.57199,5.57274,1,75.216,9.768,15.016,7.51,0.319,0.114,15.89,4.2482288,0.7184532
EK08,Ekiti,7.59311,4.96867,1,67.288,3.696,29.016,7.23,1.276,0.135,18.92,9.6283984,0.5897064
EK10,Ekiti,7.60406,5.32135,1,51.432,27.696,20.872,7.32,1.276,0.087,16.32,13.2310208,0.7368456
EK11,Ekiti,7.58131,5.39515,1,45.728,23.328,30.944,7.27,1.476,0.261,13.29,12.4990896,0.6969954
EK12,Ekiti,7.58284,5.4725,1,63.216,15.768,21.016,7.06,2.952,0.082,15.65,12.6036512,0.8349384
EK13,Ekiti,7.59003,5.05454,1,79.144,5.768,15.088,7.17,0.758,0.091,15.17,13.6207504,0.0188332
EK14,Ekiti,7.65512,5.64266,1,79.216,5.912,14.872,7.4,1.077,0.033,14.5,14.01048,0.4425672
EK15,Ekiti,7.66017,4.87671,1,71.288,7.768,20.944,7.38,0.758,0.12,12.99,9.9040608,0.7583034
EK16,Ekiti,7.66523,4.97009,1,59.432,21.48,19.088,7.24,0.837,0.141,25.09,9.5143312,0.1912044
EK17,Ekiti,7.66523,5.05383,1,67.288,15.416,17.296,7.19,1.596,0.098,25.21,9.7614768,0.7061916
EK18,Ekiti,7.66523,5.30503,1,45.144,12.344,42.512,7.32,1.037,0.153,28.18,11.2728672,0.7123224
EK19,Ekiti,7.66666,5.3999,1,75.288,4.344,20.368,7.1,1.755,0.075,15.23,3.1455792,0.6694068
EK20,Ekiti,7.67461,5.46103,1,77.216,6.128,16.656,7.63,0.837,0.137,35.32,8.9820176,0.1636158
EK21,Ekiti,7.66617,5.54279,1,61.864,15.264,22.872,7.28,1.197,0.069,24.91,9.1246016,0.678603
