,sN,State,Long,Lat,Depth,sand_content,silt_content,clay_content,pH,carbon_organic,nitrogen_total,phosphorous_extractable,calcium_extractable,magnesium_extractable,potassium_extractable,Na,cation_exchange_capacity,zinc_extractable
1,1,Ogun,3.05451,7.052,1,789.2,35.8,175,6.6,0.63,0.11,26.42,13,4,0.13,0.04,17.47,7.57
2,2,Ogun,3.05381,7.04806,1,728.6,74,197.4,5.9,1.5,0.24,16.62,11.8,2.4,0.08,0.02,14.4,6.07
3,3,Ogun,3.05101,7.0505,1,748.6,56.4,195,5.75,1.42,0.05,11.16,10.6,0.4,0.05,0.03,11.48,6.51
4,4,Ogun,3.0495,7.05489,1,789.2,25.8,185,5.8,1.04,0.09,21.83,12.8,0.8,0.05,0.04,13.89,6.21
5,5,Ogun,3.04887,7.04875,1,788.6,26.4,185,6.25,1.5,0.11,12.4,10,3.8,0.05,0.04,13.99,9.95
6,6,Ogun,3.04801,7.05049,1,818.6,0.6,180.8,6.5,0.96,0.1,12.65,11,2.6,0.1,0.02,13.92,4.99
7,7,Ogun,3.04738,7.05463,1,798.6,13.4,188,6.3,1.34,0.19,13.27,14.8,2.6,0.08,0.02,17.6,15.62
8,8,Ogun,3.04543,7.05182,1,798.6,36.4,165,6.1,2.01,0.22,25.55,10,7.6,0.26,0.02,17.98,7.56
9,9,Ogun,3.04469,7.05453,1,799.2,15.8,185,6.2,1.3,0.11,23.32,12.8,4.8,0.13,0.11,18.03,6.34
10,10,Ogun,3.04352,7.04922,1,799.2,17,183.8,6.45,0.13,0.08,14.14,11.4,2.6,0.31,0.09,14.59,5.95
11,11,Ogun,3.04317,7.05131,1,818.6,7,174.4,6.6,1.96,0.19,16.99,15.4,2.4,0.15,0.04,18.1,5.66
12,12,Ogun,3.042,7.05647,1,788.6,1.6,209.8,6.4,0.25,0.08,14.76,10.4,1,0.05,0.06,11.62,4.78
13,13,Ogun,3.04131,7.05,1,809.2,15.8,175,6.2,2.05,0.05,17.61,14.8,3.8,0.03,0.04,18.87,7.42
14,14,Ogun,3.03901,7.05349,1,799.2,14.6,186.2,6.05,0.88,0.1,15.13,11.4,2.8,0.03,0.04,14.67,7.44
15,15,Ogun,3.03831,7.05459,1,798.6,7.6,193.8,6.5,0.63,0.12,15.75,9.8,3,0.05,0.06,13.12,5.04
16,16,Ogun,3.0375,7.055,1,806.8,13.4,179.8,6.55,2.38,0.25,19.35,15,3.4,0.05,0.02,18.67,6.77
17,17,Ogun,3.036,7.05199,1,799.2,17,183.8,6,0.79,0.12,13.77,11.4,4.2,0.13,0.19,16.02,5.81
18,18,Ogun,3.036,7.05647,1,749.2,57,193.8,6.75,0.17,0.11,16.13,16.4,4.8,0.26,0.17,21.83,7.82
19,19,Ogun,3.38126,6.746973,1,107.2,352.2,540.6,5.33,1.45,0.11,15.56,0.61,0.2,0.05,0.06,3.12,0.04
20,20,Ogun,3.382802,6.747253,1,121.8,335.8,542.4,5.73,2.99,0.1,13.4,0.64,0.2,0.03,0.06,2.43,0.08
21,21,Ogun,3.386096,6.746419,1,60,218.8,721.2,5.2,3.7,0.21,10.8,0.65,0.21,0.05,0.05,1.27,0.14
22,22,Ogun,3.387618,6.746716,1,147.2,365.6,487.2,5.89,1.14,0.02,3.89,0.81,0.21,0.08,0.05,1.45,0.23
23,23,Ogun,3.384601,6.746142,1,181.2,342.6,476.2,5.93,2.08,0.11,9.94,0.67,0.21,0.03,0.04,1.55,0.15
24,24,Ogun,3.380305,6.74526,1,221.8,297.6,480.6,5.16,2.08,0.14,8.21,0.5,0.18,0.01,0.03,1.12,0.29
25,25,Ogun,3.381567,6.745572,1,140.6,338.2,521.2,5.59,2.16,0.08,17.29,0.41,0.17,0.04,0.06,3.37,0.06
26,26,Ogun,3.383117,6.745865,1,121.8,337,541.2,5.12,2.36,0.16,16.42,0.6,0.19,0.06,0.04,2.09,0.04
27,27,Ogun,3.386459,6.74507,1,281.2,388.6,330.2,5.08,1.85,0.12,31.11,0.42,0.17,0.03,0.05,2.27,0.29
28,28,Ogun,3.388045,6.745414,1,286.6,431.6,281.8,5.29,3.58,0.21,12.1,0.55,0.19,0.03,0.05,1.72,0.2
29,29,Ogun,3.384929,6.744752,1,301.2,366.8,332,5.43,3.07,0.2,6.48,0.75,0.19,0.02,0.04,1.3,0.09
30,30,Ogun,3.380463,6.743675,1,121.2,416.4,462.4,5.07,3.22,0.2,10.37,0.64,0.2,0.04,0.05,2.12,0.13
31,31,Ogun,3.38189,6.744113,1,404.8,262.6,332.6,5.46,1.81,0.12,1.3,0.6,0.19,0.01,0.05,1.85,0.19
32,32,Ogun,3.383442,6.744441,1,166.6,232.2,601.2,5.29,1.65,0.1,7.35,0.63,0.19,0.02,0.05,2.7,0.24
33,33,Ogun,3.386651,6.742351,1,463,214.6,322.4,6.07,1.14,1.27,4.75,0.92,0.2,0.16,0.06,1.55,0.103
34,34,Ogun,3.3867,6.743712,1,163.6,349.8,486.6,5.03,2.52,0.2,11.24,0.48,0.17,0.02,0.04,2.41,0.418
35,35,Ogun,3.385279,6.743277,1,124.8,286.2,589,5.22,4.4,0.18,6.91,0.48,0.21,0.11,0.06,1.26,0.181
36,36,Ogun,3.380671,6.742214,1,426.6,251.6,321.8,4.88,7.04,0.25,19.01,0.5,0.15,0.02,0.05,3.03,0.252
37,37,Ogun,3.382232,6.742584,1,361.2,329.8,309,5.81,3.46,0.2,9.51,0.65,0.17,0.02,0.04,1.69,0.215
38,38,Osun,4.235944444,7.609527778,1,718,64,218,5.2,0.5,0.03,0.01,2,1.2,0.1,0.13,3.63,NA
39,39,Osun,4.226916667,7.60425,1,778,74,148,5.45,0.96,0.06,0,4.8,2.8,0.2,0.09,7.99,NA
40,40,Osun,4.226916667,7.604555556,1,738,104,158,5.5,0.89,0.06,0,5.6,3.6,0.28,0.13,9.71,NA
41,41,Osun,4.228194444,7.602111111,1,768,94,138,5.55,0.71,0.04,0.001,4.4,2,0.18,0.04,6.82,NA
42,42,Osun,4.233833333,7.605083333,1,788,64,148,5.35,0.85,0.05,0.052,2.8,3.2,0.18,0.04,6.42,NA
43,43,Osun,4.235083333,7.606527778,1,728,94,178,5.5,0.53,0.03,0.01,2.4,2.4,0.15,0.04,5.09,NA
44,44,Lagos,3.797933333,6.676833333,1,793.4,46.8,159.8,5.2,0.24,0.06,7.17,2,1.2,0.2,0.87,5.07,3.5
45,45,Lagos,3.79695,6.676016667,1,747.8,53,199.2,4.7,0.06,0.05,9.03,1.8,0.4,0.26,0.87,4.23,2.2
