Long,Lat,texture_class,clay_content,bulk_density,aluminium_extractable,carbon_total,calcium_extractable,cation_exchange_capacity,iron_extractable,potassium_extractable,magnesium_extractable,nitrogen_total,carbon_organic,phosphorous_extractable,sulphur_extractable,zinc_extractable,pH,sand_content,silt_content,stone_content
3.05451,7.052,Sandy Loam,17,1.37,80.5,29,600.8,7.2,98.5,72.7,89,1.4,10,7.2,6.4,3.1,5.6,65,14,1.5
3.05381,7.04806,Sandy Loam,16,1.36,80.5,29,543.6,10,89,65.7,89,1.3,10,8,7.2,2.7,5.7,63,14,1.7
3.05101,7.0505,Sandy Loam,19,1.39,80.5,29,600.8,9,89,65.7,120.5,1.1,10,7.2,6.4,2.3,5.6,67,13,1.7
3.0495,7.05489,Sandy Loam,18,1.4,89,32.1,600.8,9,72.7,59.3,120.5,1.1,10,7.2,6.4,2.3,5.8,61,13,1.7
3.04887,7.04875,Sandy Loam,19,1.38,89,29,600.8,9,72.7,59.3,108.9,1.1,10,7.2,6.4,2.3,5.7,65,12,2
3.04801,7.05049,Sandy Loam,17,1.36,98.5,32.1,543.6,9,80.5,65.7,108.9,1.1,10,7.2,7.2,2.3,5.7,65,12,1.5
3.04738,7.05463,Sandy Loam,17,1.41,98.5,26.1,600.8,8,72.7,59.3,120.5,1,9,7.2,7.2,2.3,5.8,64,13,2
3.04543,7.05182,Sandy Loam,18,1.36,89,26.1,600.8,8,80.5,65.7,108.9,1.2,9,8,7.2,3.1,5.7,61,13,1.7
3.04469,7.05453,Sandy Loam,17,1.37,98.5,26.1,664.1,8,80.5,65.7,98.5,1,9,7.2,7.2,2.7,5.7,64,14,1.5
3.04352,7.04922,Sandy Loam,18,1.37,89,29,600.8,9,80.5,65.7,108.9,1.1,10,7.2,7.2,2.7,5.6,64,12,1.5
3.04317,7.05131,Sandy Loam,18,1.39,98.5,29,664.1,9,80.5,65.7,108.9,1.1,10,7.2,7.2,3.1,5.6,63,14,1.2
3.042,7.05647,Sandy Loam,18,1.38,98.5,29,543.6,8,72.7,59.3,108.9,1.1,9,6.4,7.2,3.1,5.7,63,14,1.5
3.04131,7.05,Sandy Loam,17,1.41,89,29,543.6,9,72.7,59.3,120.5,1.1,10,6.4,7.2,2.7,5.7,62,15,2
3.03901,7.05349,Sandy Loam,19,1.38,89,26.1,600.8,9,72.7,59.3,98.5,0.9,10,7.2,7.2,2.7,5.7,59,13,2.3
3.03831,7.05459,Sandy Clay Loam,20,1.32,80.5,29,543.6,8,80.5,72.7,108.9,1.3,10,7.2,8,3.5,5.7,60,12,2
3.0375,7.055,Sandy Loam,19,1.35,89,29,543.6,8,80.5,72.7,120.5,1.2,10,6.4,8,3.5,5.6,61,13,1.5
3.036,7.05199,Sandy Loam,16,1.37,98.5,29,543.6,9,72.7,59.3,108.9,1.1,10,7.2,7.2,2.7,5.7,63,13,1.5
3.036,7.05647,Sandy Loam,18,1.37,80.5,29,444.9,8,80.5,72.7,108.9,1.2,11.2,6.4,7.2,2.7,5.7,60,12,1.2
3.38126,6.746973,Sandy Clay Loam,28,1.23,147.4,35.6,402.4,10,98.5,59.3,80.5,1.3,11.2,8,8,2.7,5.4,53,17,1
3.382802,6.747253,Sandy Clay Loam,21,1.22,133.3,43.7,402.4,10,98.5,59.3,89,1.4,9,8,8,3.1,5.4,51,15,0.6
3.386096,6.746419,Sandy Clay Loam,22,1.27,163,48.4,402.4,9,98.5,59.3,72.7,1.5,10,9,7.2,3.1,5.3,53,14,1
3.387618,6.746716,Sandy Clay Loam,22,1.33,147.4,39.4,364,8,89,65.7,80.5,1.6,11.2,9,7.2,2.7,5.5,56,14,0.8
3.384601,6.746142,Sandy Clay Loam,26,1.27,133.3,35.6,364,10,98.5,65.7,80.5,1.4,9,8,8,2.7,5.5,55,17,1
3.380305,6.74526,Sandy Clay Loam,27,1.23,147.4,29,402.4,11.2,98.5,72.7,98.5,1.2,11.2,9,9,3.1,5.5,51,17,1
3.381567,6.745572,Sandy Clay Loam,27,1.22,147.4,29,364,11.2,108.9,65.7,80.5,1.3,11.2,8,8,2.7,5.5,49,17,0.6
3.383117,6.745865,Sandy Clay Loam,22,1.21,133.3,48.4,364,9,108.9,59.3,65.7,1.3,11.2,8,7.2,3.1,5.4,52,16,0.3
3.386459,6.74507,Sandy Clay Loam,22,1.24,133.3,39.4,402.4,8,108.9,65.7,72.7,1.6,10,9,8,3.5,5.2,55,15,1.2
3.388045,6.745414,Sandy Clay Loam,21,1.35,147.4,29,364,8,89,72.7,72.7,1.7,9,9,7.2,2.7,5.5,55,15,1.7
3.384929,6.744752,Sandy Clay Loam,27,1.23,147.4,43.7,402.4,10,108.9,59.3,72.7,1.3,10,7.2,7.2,2.7,5.4,57,17,1
3.380463,6.743675,Sandy Clay Loam,26,1.23,163,35.6,364,10,80.5,65.7,89,1.2,10,9,8,2.7,5.4,55,16,1
3.38189,6.744113,Sandy Clay Loam,26,1.25,147.4,29,402.4,11.2,98.5,72.7,89,1.2,10,8,8,2.7,5.5,56,16,1.5
3.383442,6.744441,Sandy Clay Loam,25,1.23,133.3,29,364,9,80.5,72.7,80.5,1.3,9,9,7.2,2.3,5.4,56,17,1.5
3.386651,6.742351,Sandy Clay Loam,23,1.26,163,43.7,402.4,8,108.9,65.7,89,1.7,11.2,9,8,3.1,5.4,56,16,1
3.3867,6.743712,Sandy Clay Loam,21,1.25,163,43.7,402.4,8,108.9,72.7,72.7,1.6,11.2,8,8,3.1,5.4,56,15,1
3.385279,6.743277,Sandy Clay Loam,23,1.25,147.4,39.4,444.9,8,98.5,59.3,80.5,1.6,11.2,9,8,3.1,5.4,57,17,1
3.380671,6.742214,Sandy Clay Loam,21,1.21,147.4,43.7,364,9,89,59.3,72.7,1.2,10,8,8,3.1,5.4,58,15,0.5
3.382232,6.742584,Sandy Clay Loam,24,1.24,147.4,35.6,402.4,9,89,72.7,89,1.3,10,8,8,2.7,5.5,58,17,1.5
4.235944444,7.609527778,Sandy Clay Loam,20,1.28,43.7,29,543.6,8,65.7,65.7,108.9,1.6,11.2,6.4,6.4,3.5,5.8,58,13,3.1
4.226916667,7.60425,Sandy Loam,18,1.31,43.7,19.1,444.9,6.4,72.7,59.3,108.9,1.1,9,8,5.7,3.1,5.9,63,14,2
4.226916667,7.604555556,Sandy Loam,17,1.3,43.7,19.1,444.9,6.4,72.7,59.3,120.5,1.1,9,8,6.4,2.7,6,62,14,2
4.228194444,7.602111111,Sandy Loam,16,1.32,39.4,21.2,491.7,6.4,72.7,53.6,120.5,1.1,9,7.2,6.4,3.1,5.9,63,15,1.5
4.233833333,7.605083333,Sandy Loam,20,1.33,43.7,15.4,491.7,6.4,72.7,65.7,120.5,1.1,9,8,6.4,2.7,5.9,65,13,2.3
4.235083333,7.606527778,Sandy Loam,19,1.3,43.7,23.5,543.6,7.2,59.3,59.3,120.5,1.4,11.2,6.4,5.7,3.1,5.9,61,14,3.1
3.797933333,6.676833333,Sandy Clay Loam,31,1.22,199.3,26.1,491.7,11.2,89,80.5,120.5,1.4,9,6.4,7.2,2.7,5.5,49,18,0.8
3.79695,6.676016667,Sandy Clay Loam,31,1.24,199.3,26.1,444.9,9,80.5,72.7,89,1.5,9,7.2,7.2,2.7,5.6,51,17,0.5
3.7948,6.675433333,Sandy Clay Loam,33,1.28,180.3,29,364,9,80.5,72.7,89,1.3,10,7.2,7.2,2.7,5.5,50,16,0.8
3.796266667,6.674166667,Sandy Clay Loam,28,1.22,199.3,29,402.4,9,80.5,72.7,133.3,1.2,9,7.2,8,3.1,5.5,51,17,0.8
3.79905,6.67615,Sandy Clay Loam,30,1.24,199.3,32.1,402.4,11.2,89,72.7,108.9,1.3,9,7.2,7.2,3.1,5.4,53,17,0.5
3.798116667,6.6806,Sandy Clay Loam,26,1.24,180.3,26.1,297.9,10,80.5,72.7,108.9,1.3,9,7.2,6.4,2.7,5.5,53,17,1
3.796883333,6.680933333,Sandy Clay Loam,30,1.24,199.3,29,364,10,89,72.7,89,1.2,9,7.2,6.4,2.7,5.5,54,16,0.8
3.797916667,6.6767,Sandy Clay Loam,30,1.21,199.3,26.1,444.9,11.2,89,72.7,120.5,1.4,9,6.4,7.2,2.7,5.5,49,17,0.8
3.804783333,6.658033333,Sandy Clay Loam,31,1.22,180.3,29,364,9,80.5,72.7,80.5,1.4,10,7.2,7.2,2.7,5.4,50,16,0.6
3.80625,6.660383333,Sandy Clay Loam,31,1.25,180.3,29,364,9,89,65.7,72.7,1.4,11.2,6.4,7.2,3.1,5.5,51,17,0.8
3.806266667,6.6604,Sandy Clay Loam,31,1.25,180.3,29,364,9,89,65.7,72.7,1.4,11.2,6.4,7.2,3.1,5.5,51,17,0.8
3.805833333,6.663716667,Sandy Clay Loam,28,1.21,180.3,39.4,329.3,9,89,65.7,72.7,1.3,11.2,7.2,8,3.5,5.3,48,15,0.5
3.8023,6.671033333,Sandy Clay Loam,32,1.22,199.3,32.1,402.4,11.2,89,72.7,133.3,1.5,11.2,6.4,8,2.7,5.5,46,19,0.6
3.795316667,6.6649,Sandy Clay Loam,34,1.18,180.3,39.4,402.4,12.5,98.5,80.5,89,1.4,10,7.2,8,3.1,5.5,49,17,0.5
3.80475,6.40475,No metadata for this value,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
4.21705,6.4018,Sandy Clay Loam,28,1.35,180.3,29,444.9,9,80.5,72.7,108.9,1.3,9,8,7.2,2.3,5.4,58,16,1
4.21965,6.4008,Sandy Clay Loam,22,1.34,180.3,26.1,402.4,9,72.7,72.7,108.9,1.2,9,9,6.4,2.7,5.4,62,16,0.6
4.220633333,6.40165,Sandy Clay Loam,24,1.35,180.3,26.1,444.9,9,72.7,72.7,108.9,1.2,9,8,7.2,2.7,5.7,53,16,0.6
4.217183333,6.4002,Sandy Clay Loam,29,1.36,180.3,29,444.9,8,80.5,72.7,80.5,1.3,9,9,6.4,2.7,5.4,60,16,0.8
4.217216667,6.399183333,Sandy Clay Loam,24,1.35,180.3,29,402.4,8,80.5,72.7,89,1.4,10,8,6.4,2.7,5.4,60,15,0.8
4.218266667,6.399466667,Sandy Clay Loam,24,1.33,180.3,23.5,402.4,9,80.5,80.5,120.5,1.4,10,8,7.2,2.7,5.4,58,15,1
4.210316667,6.40665,Sandy Clay Loam,21,1.4,133.3,23.5,444.9,7.2,72.7,80.5,108.9,1.1,8,8,6.4,2.3,5.7,59,18,0.8
4.2171,6.401933333,Sandy Clay Loam,29,1.36,180.3,26.1,444.9,10,72.7,80.5,89,1.3,9,7.2,8,2.3,5.6,53,18,1.2
4.65531,7.51441,Sandy Clay Loam,23,1.25,59.3,32.1,364,6.4,72.7,65.7,120.5,1.7,11.2,6.4,7.2,3.5,5.6,57,14,2
4.66802,7.5665,Sandy Clay Loam,23,1.31,48.4,32.1,444.9,5.7,72.7,65.7,108.9,1.5,11.2,7.2,5.7,3.5,5.6,57,14,1.5
4.68118,7.58752,Sandy Clay Loam,24,1.25,53.6,32.1,329.3,5,80.5,65.7,98.5,1.7,11.2,7.2,6.4,3.5,5.8,61,14,1.7
4.65785,7.58936,Sandy Clay Loam,22,1.32,65.7,32.1,444.9,5.7,72.7,59.3,98.5,1.7,11.2,7.2,5.7,3.5,5.9,60,14,1.5
4.63,7.61232,Sandy Clay Loam,24,1.31,65.7,32.1,364,5.7,72.7,65.7,89,1.8,11.2,7.2,6.4,3.5,5.7,56,13,2.3
4.61894,7.63757,Sandy Clay Loam,22,1.3,80.5,32.1,444.9,7.2,72.7,80.5,98.5,1.6,10,5.7,6.4,3.5,6,59,13,1.5
4.61872,7.63808,Sandy Clay Loam,23,1.31,80.5,29,491.7,7.2,65.7,72.7,98.5,1.6,10,6.4,5.7,3.5,6,58,15,2.3
4.62166,7.66914,Sandy Clay Loam,22,1.28,80.5,29,491.7,6.4,80.5,72.7,98.5,1.7,10,6.4,7.2,3.1,5.9,58,14,1.5
4.64591,7.67043,Sandy Clay Loam,23,1.29,80.5,32.1,364,8,72.7,65.7,80.5,1.6,11.2,7.2,6.4,4.5,5.8,57,13,2
